Time	[N]	[pN]	[pD]	[G]	[pG]	[IG]	[K]	[pK]	[D]	[DI]	Values[kNPhos]	Values[S]	Values[kNDephos]	Values[kGPhos]	Values[kGDephos]	Values[kGBindI1]	Values[I1]	Values[kGUnbindI1]	Values[kKPhos]	Values[kKDephos]	Values[kDPhos]	Values[kDDephos]	Values[kDBindI2]	Values[I2]	Values[kDUnbindI2]
8.7	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
8.8	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
8.9	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
9	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
9.1	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
9.2	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
9.3	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
9.4	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
9.5	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
9.6	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
9.7	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
9.8	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
9.9	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
10	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
10.1	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
10.2	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
10.3	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
10.4	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
10.5	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
10.6	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
10.7	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
10.8	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
10.9	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
11	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
11.1	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
11.2	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
11.3	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
11.4	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
11.5	50	0	0	50	0	0	50	0	50	0	0.1	0	0.05	0.001	0.1	10	0	0.01	0.0005	0.001	0.001	0.1	10	0	0.01
